name,address,city,postal_code,phone_number,email,birthdate,last_active,latitude,longitude,active
John Singh,3819 Brown Ports Suite 280,Pattersonland,45660,(226)228-9641,clarkmadison@yahoo.com,1929-07-06,1992-07-28 10:38:39,-11.601255,-26.046528,true
Sabrina Shelton,2523 Sosa Square Apt. 641,Padillatown,87963,+1-532-227-2394x9861,epatel@yahoo.com,2008-06-13,2013-08-29 17:33:18,49.079312,82.509187,true
Marcus Garcia,741 Jenkins Ford,Port Danielstad,08102,(817)224-6170,aholt@gmail.com,1935-02-21,1981-05-17 23:17:58,-10.799587,34.237138,false
Joanna Bell,25670 Smith Hills Apt. 103,Grantview,61874,001-385-236-2854x4053,mcdonalddarren@hotmail.com,2009-10-31,1980-07-30 09:27:06,65.3814105,159.528996,true
Bruce Fowler,211 Strickland Club,Stephenfurt,43211,001-824-943-4151x681,butlerpaul@hotmail.com,2007-08-18,2002-01-24 10:52:22,-38.361879,-8.402104,true
Nancy Donaldson,8868 Linda Pines Suite 311,Franciscofort,63183,001-134-162-3164x398,ehale@rodriguez-khan.com,2013-05-25,1994-11-11 10:49:23,-83.9501905,-59.443987,false
Mrs. Latoya Jones,1845 John Ville Apt. 628,Byrdhaven,46303,+1-023-739-7980x7059,fredericksherry@taylor.net,1946-03-19,1990-01-26 06:46:47,-24.3295835,-52.525666,true
Stephanie Miller,2866 Morgan Run Suite 354,Reneehaven,77883,799-644-9703x484,karinacoffey@cruz.com,1977-07-29,2015-03-24 19:38:40,-21.7313415,-126.147396,false
Erin Martinez,77517 Baldwin Prairie Suite 925,Port Carolinestad,15315,(378)912-7570x45665,millergabriela@jackson-kennedy.com,1911-12-09,2012-09-21 16:05:54,63.647474,160.823781,false
Brittany Williams,5989 Christopher Port,Christyview,60686,549.939.0543x0990,olsoncharles@alexander.com,1980-06-22,1990-01-28 07:52:20,10.0723825,67.073554,false
Gregory Swanson,72559 Christopher Mews Suite 425,Salastown,12768,822-168-7986,debra40@yahoo.com,1920-10-01,2001-04-07 04:09:16,-42.8018185,150.449121,true
Emily Bailey,07874 Omar Ferry Apt. 671,Maryburgh,31909,0523688056,thomasrobert@jackson-roberts.org,1995-12-13,1991-06-17 07:04:48,87.881864,-85.607614,false
Vernon Morrow,95594 Michael Mission,Sanchezville,41971,(171)246-1173x308,cory54@arroyo.com,1985-09-28,2016-03-21 23:25:23,-81.3081325,-135.942666,false
Sharon Villegas,420 Chandler Wall,New Joshuaberg,28636,832.102.6599,jenniferbrown@hotmail.com,1945-06-08,2011-06-06 10:59:21,-27.853935,-115.035158,true
Peter Cole,979 Hicks Brooks Suite 878,Thompsonborough,50964,001-808-684-1339x97166,hickstiffany@gmail.com,1911-04-06,2007-06-13 06:34:09,49.265019,0.434774,false
Andrew Roberts,91699 Samuel Shores Apt. 260,Millsbury,62136,(422)628-6056x0003,owallace@hotmail.com,1986-10-17,1995-03-21 14:32:49,35.2003355,-33.359865,true
Diana Collins,771 Morales Mountains,Lawrenceport,85171,586.792.8437,stephanie74@hotmail.com,1962-09-28,1985-11-03 13:17:12,-17.290092,-99.605321,false
